"protocol_version","trial_id","session_id","participant_id","session_start_wall_iso","runtime_commit","runtime_mode","runtime_config_reference","checkpoint_id","camera_id","camera_resolution","lighting_condition","background_condition","participant_distance","glasses_or_occlusion","calibration_outcome","output_directory","scenario_id","scenario_group","scenario_name","round","round_status","expected_event_family","expected_event_label","expected_secondary_event_family","expected_secondary_event_label","expected_handling","physical_subtype","pre_neutral_s","cue_duration_s","recovery_s","cue_onset_wall_iso","cue_offset_wall_iso","observed_cue_duration_s","clock_alignment_available","clock_alignment_method","alignment_reference_wall_iso","alignment_reference_runtime_s","actual_event","actual_secondary_event","event_start_runtime_s","event_end_runtime_s","runtime_event_duration_s","start_record_runtime_s","end_record_runtime_s","start_confirmation_delay_s","end_emission_delay_s","logger_start_wall_iso","logger_end_wall_iso","boundary_start_error_s","boundary_end_error_s","duration_error_s","frame_is_loggable","head_can_trigger_event","gaze_output_available","gaze_event_eligible","reliability_state","concurrent_cues","expected_event_detected","missed_event","false_alert","duplicate_event","lifecycle_failure","logging_failure","eligibility_failure","deviation_code","notes"
"1.0","N01_R1","","","","","async_latest_frame","","5e","","","","","","","","","N01","core-neutral","Neutral baseline","1","PLANNED","","","","","No formal event","normal seated posture","0","20","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","N01_R2","","","","","async_latest_frame","","5e","","","","","","","","","N01","core-neutral","Neutral baseline","2","PLANNED","","","","","No formal event","normal seated posture","0","20","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","N01_R3","","","","","async_latest_frame","","5e","","","","","","","","","N01","core-neutral","Neutral baseline","3","PLANNED","","","","","No formal event","normal seated posture","0","20","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H01_R1","","","","","async_latest_frame","","5e","","","","","","","","","H01","core-head","Head left","1","PLANNED","head","HEAD_LEFT","","","Expected head event","left","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H01_R2","","","","","async_latest_frame","","5e","","","","","","","","","H01","core-head","Head left","2","PLANNED","head","HEAD_LEFT","","","Expected head event","left","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H01_R3","","","","","async_latest_frame","","5e","","","","","","","","","H01","core-head","Head left","3","PLANNED","head","HEAD_LEFT","","","Expected head event","left","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H02_R1","","","","","async_latest_frame","","5e","","","","","","","","","H02","core-head","Head right","1","PLANNED","head","HEAD_RIGHT","","","Expected head event","right","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H02_R2","","","","","async_latest_frame","","5e","","","","","","","","","H02","core-head","Head right","2","PLANNED","head","HEAD_RIGHT","","","Expected head event","right","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H02_R3","","","","","async_latest_frame","","5e","","","","","","","","","H02","core-head","Head right","3","PLANNED","head","HEAD_RIGHT","","","Expected head event","right","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","H03_R1","","","","","async_latest_frame","","5e","","","","","","","","","H03","core-head","Head up","1","PLANNED","head","HEAD_UP","","","Expected head event","up","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
